[170/200] D=0.2902 G=2.1682 (adv=1.0706, cycle=0.0781, id=0.0405, sky=0.1139)
[171/200] D=0.2902 G=2.2412 (adv=1.1042, cycle=0.0811, id=0.0423, sky=0.1148)
[172/200] D=0.2846 G=2.1664 (adv=1.0715, cycle=0.0779, id=0.0403, sky=0.1139)
[173/200] D=0.2894 G=2.1425 (adv=1.0630, cycle=0.0767, id=0.0397, sky=0.1138)
[174/200] D=0.2868 G=2.1523 (adv=1.0765, cycle=0.0764, id=0.0395, sky=0.1140)
[175/200] D=0.2869 G=2.1607 (adv=1.0764, cycle=0.0771, id=0.0399, sky=0.1140)
[176/200] D=0.2883 G=2.1445 (adv=1.0700, cycle=0.0764, id=0.0393, sky=0.1140)
[177/200] D=0.2875 G=2.1402 (adv=1.0700, cycle=0.0760, id=0.0392, sky=0.1140)
[178/200] D=0.2886 G=2.1358 (adv=1.0680, cycle=0.0758, id=0.0390, sky=0.1141)
[179/200] D=0.2881 G=2.1361 (adv=1.0701, cycle=0.0757, id=0.0391, sky=0.1139)
[180/200] D=0.2875 G=2.1294 (adv=1.0689, cycle=0.0753, id=0.0386, sky=0.1140)
[181/200] D=0.2858 G=2.1367 (adv=1.0742, cycle=0.0754, id=0.0389, sky=0.1140)
[182/200] D=0.2876 G=2.1260 (adv=1.0687, cycle=0.0750, id=0.0385, sky=0.1142)
[183/200] D=0.2863 G=2.1210 (adv=1.0675, cycle=0.0747, id=0.0385, sky=0.1139)
[184/200] D=0.2870 G=2.1203 (adv=1.0702, cycle=0.0745, id=0.0383, sky=0.1141)
[185/200] D=0.2868 G=2.1145 (adv=1.0680, cycle=0.0742, id=0.0382, sky=0.1140)
[186/200] D=0.2868 G=2.1117 (adv=1.0650, cycle=0.0742, id=0.0382, sky=0.1140)
[187/200] D=0.2862 G=2.1190 (adv=1.0727, cycle=0.0742, id=0.0381, sky=0.1141)
[188/200] D=0.2862 G=2.1034 (adv=1.0641, cycle=0.0736, id=0.0379, sky=0.1139)
[189/200] D=0.2864 G=2.1020 (adv=1.0643, cycle=0.0735, id=0.0377, sky=0.1140)
[190/200] D=0.2858 G=2.0987 (adv=1.0634, cycle=0.0733, id=0.0376, sky=0.1141)
[191/200] D=0.2857 G=2.0980 (adv=1.0659, cycle=0.0730, id=0.0375, sky=0.1140)
[192/200] D=0.2855 G=2.0949 (adv=1.0642, cycle=0.0729, id=0.0375, sky=0.1141)
[193/200] D=0.2858 G=2.0912 (adv=1.0623, cycle=0.0728, id=0.0374, sky=0.1141)
[194/200] D=0.2854 G=2.0875 (adv=1.0618, cycle=0.0725, id=0.0373, sky=0.1140)
[195/200] D=0.2854 G=2.0853 (adv=1.0601, cycle=0.0725, id=0.0372, sky=0.1141)
[196/200] D=0.2847 G=2.0812 (adv=1.0589, cycle=0.0723, id=0.0371, sky=0.1140)
[197/200] D=0.2851 G=2.0802 (adv=1.0573, cycle=0.0723, id=0.0371, sky=0.1142)
[198/200] D=0.2845 G=2.0766 (adv=1.0567, cycle=0.0721, id=0.0370, sky=0.1141)
[199/200] D=0.2842 G=2.0740 (adv=1.0553, cycle=0.0720, id=0.0369, sky=0.1141)
[200/200] D=0.2837 G=2.0770 (adv=1.0579, cycle=0.0721, id=0.0369, sky=0.1142)
